항목,Agent 평균,Freepass 평균,차이,p,Cohen's d
메타인지_혼자풀수있음,4.260869565217392,3.9565217391304346,0.304347826086957,0.34479833585947617,0.2816123663877771
시스템_계속쓰고싶음,4.608695652173913,4.3478260869565215,0.2608695652173916,0.2792817576476582,0.3230291412348996
메타인지_모르는지알게됨,4.478260869565218,4.3478260869565215,0.13043478260869623,0.5883352331199972,0.1607853814729977
메타인지_다음질문알게됨,4.478260869565218,4.3478260869565215,0.13043478260869623,0.5748659014418758,0.16664328961813857
개념이해_자기검증,4.130434782608695,4.0,0.13043478260869534,0.630133589469368,0.14299723144151405
시스템_도움됨,4.608695652173913,4.478260869565218,0.13043478260869534,0.5274412871049798,0.18783380834687255
AI상호작용_도움충분,4.608695652173913,4.521739130434782,0.08695652173913082,0.639681031550041,0.13900960937138382
개념이해_귀납가정,4.608695652173913,4.521739130434782,0.08695652173913082,0.6576405202477567,0.1315773941944225
시스템_쉬움,4.826086956521739,4.782608695652174,0.04347826086956541,0.748872949154744,0.0949936313222978
개념이해_귀납법구조,4.521739130434782,4.478260869565218,0.04347826086956452,0.8528516815214653,0.05501788371878443
질문능력_상황설명함,4.043478260869565,4.130434782608695,-0.08695652173912993,0.7942321666945255,-0.07737969061955624
자기조절_질문만듦,3.8260869565217392,3.9130434782608696,-0.08695652173913038,0.817670692454043,-0.06839128539154848
AI상호작용_이해잘함,4.217391304347826,4.3478260869565215,-0.13043478260869534,0.6495658955755437,-0.13490812512398606
질문능력_분명하게말함,4.260869565217392,4.391304347826087,-0.13043478260869534,0.6168932679672232,-0.14857179609642476
자기조절_모르는지앎,4.173913043478261,4.391304347826087,-0.21739130434782616,0.4688115977512014,-0.2154833964196439
