항목,Agent 평균,Agent 표준편차,Freepass 평균,Freepass 표준편차,차이,t,p,Cohen's d,효과크기,유의성,Agent N,Freepass N
시스템_계속쓰고싶음,4.65,0.670820393249937,4.3478260869565215,0.8846517369293828,0.30217391304347885,1.2466896633134563,0.21958691262676255,0.3849101405156259,작음,,20,23
메타인지_혼자풀수있음,4.25,1.019545822516343,3.9565217391304346,1.1472600113299678,0.2934782608695654,0.8806817463644966,0.383623550033951,0.27041629574244774,작음,,20,23
시스템_도움됨,4.65,0.4893604849295929,4.478260869565218,0.7902568752334616,0.17173913043478262,0.8410258554338318,0.4052119100483236,0.2612958487449469,작음,,20,23
AI상호작용_도움충분,4.65,0.4893604849295929,4.521739130434782,0.6653478391304604,0.1282608695652181,0.7106044062129747,0.48135230456691747,0.219616819208562,작음,,20,23
개념이해_귀납가정,4.65,0.5871429486123998,4.521739130434782,0.6653478391304604,0.1282608695652181,0.6655517748365656,0.5094248027611274,0.20441120177431957,작음,,20,23
메타인지_다음질문알게됨,4.5,0.7608859102526822,4.3478260869565215,0.7751067757631795,0.1521739130434785,0.647609401920355,0.5208476543875071,0.19813556770204174,무시가능,,20,23
자기조절_모르는지앎,4.2,1.1516578439248717,4.391304347826087,0.7827184815397383,-0.19130434782608674,-0.6442107798388904,0.5230266709435654,-0.1942920202970249,무시가능,,20,23
메타인지_모르는지알게됨,4.5,0.6882472016116853,4.3478260869565215,0.8846517369293828,0.1521739130434785,0.6224179182402978,0.5371135829567913,0.19200376834294666,무시가능,,20,23
개념이해_귀납법구조,4.6,0.6805570473787205,4.478260869565218,0.7304771303365108,0.1217391304347819,0.5625689848453774,0.5767917230622757,0.1724451720609489,무시가능,,20,23
AI상호작용_이해잘함,4.2,1.1516578439248717,4.3478260869565215,0.7751067757631795,-0.14782608695652133,-0.4994865082002161,0.6201066372918873,-0.15059593280711103,무시가능,,20,23
시스템_쉬움,4.85,0.3663475485325232,4.782608695652174,0.518434859512082,0.06739130434782581,0.48515129229389165,0.6301513371618804,0.1501323544941798,무시가능,,20,23
자기조절_질문만듦,3.75,1.332784974957958,3.9130434782608696,1.2399795994751788,-0.16304347826086962,-0.4153780355704883,0.6800310735093322,-0.12666336180536475,무시가능,,20,23
질문능력_분명하게말함,4.3,0.9233805168766387,4.391304347826087,0.7223151185146154,-0.0913043478260871,-0.36346171877615413,0.7181274357420122,-0.11014239380890378,무시가능,,20,23
개념이해_자기검증,4.1,0.9119095061289915,4.0,0.9045340337332909,0.09999999999999964,0.3602286630643548,0.7205253113702236,0.11010435884917055,무시가능,,20,23
질문능력_상황설명함,4.05,1.1459310165698642,4.130434782608695,1.0576280419404613,-0.08043478260869552,-0.23928781002113614,0.8120745993517755,-0.07294588037311878,무시가능,,20,23
