username,essay_score,objective_score,midterm_total,quartile
24.003,5.0,44.3,49.3,Q1
24.010,18.0,32.9,50.9,Q3
24.011,14.5,44.7,59.2,Q3
24.012,14.5,44.3,58.8,Q3
24.014,25.5,52.8,78.3,Q4
24.019,27.0,48.2,75.2,Q4
24.020,22.0,37.5,59.5,Q3
24.021,29.5,60.4,89.9,Q4
24.022,9.0,22.1,31.1,Q2
24.023,30.0,53.7,83.7,Q4
24.030,16.5,27.7,44.2,Q3
24.043,11.5,29.3,40.8,Q2
24.053,13.0,45.6,58.6,Q2
24.059,7.0,36.9,43.9,Q1
24.061,29.0,55.1,84.1,Q4
24.063,20.0,25.0,45.0,Q3
24.001,24.5,38.2,62.7,Q4
24.004,27.0,53.1,80.1,Q4
24.005,23.5,61.7,85.2,Q4
24.007,16.0,28.4,44.4,Q3
24.015,3.5,38.3,41.8,Q1
24.026,29.5,56.9,86.4,Q4
24.029,8.0,52.2,60.2,Q2
24.036,19.5,30.4,49.9,Q3
24.039,22.5,48.4,70.9,Q4
24.044,7.0,36.2,43.2,Q1
24.046,23.5,52.7,76.2,Q4
24.047,16.0,27.2,43.2,Q3
24.052,20.0,43.3,63.3,Q3
24.060,9.0,38.3,47.3,Q2
24.062,21.0,34.0,55.0,Q3
24.064,6.5,14.6,21.1,Q1
24.008,0.0,17.9,17.9,Q1
24.017,0.0,33.6,33.6,Q1
24.024,18.5,24.4,42.9,Q3
24.025,7.0,36.4,43.4,Q1
24.033,27.0,49.6,76.6,Q4
24.037,11.0,36.5,47.5,Q2
24.040,0.0,22.8,22.8,Q1
24.042,8.0,31.9,39.9,Q2
24.045,5.0,28.7,33.7,Q1
24.048,23.0,52.7,75.7,Q4
24.049,7.0,55.9,62.9,Q1
24.054,7.0,41.8,48.8,Q1
24.058,24.5,48.0,72.5,Q4
24.002,13.0,41.1,54.1,Q2
24.006,12.0,44.7,56.7,Q2
24.009,6.0,35.9,41.9,Q1
24.013,8.0,35.9,43.9,Q2
24.016,22.5,42.9,65.4,Q4
24.027,13.0,29.4,42.4,Q2
24.032,9.0,36.1,45.1,Q2
24.034,18.0,44.4,62.4,Q3
24.035,14.0,45.9,59.9,Q2
24.041,7.0,37.5,44.5,Q1
24.050,9.0,30.4,39.4,Q2
24.051,18.5,44.6,63.1,Q3
24.055,9.0,37.2,46.2,Q2
24.056,5.0,20.3,25.3,Q1
