모델,교사,항목,r,p,sig
OPENAI,교사 96,A1,0.427,<0.001,***
OPENAI,교사 96,A2,0.374,<0.001,***
OPENAI,교사 96,A3,0.388,<0.001,***
OPENAI,교사 96,B1,0.519,<0.001,***
OPENAI,교사 96,B2,0.591,<0.001,***
OPENAI,교사 96,B3,0.339,<0.001,***
OPENAI,교사 96,C1,0.435,<0.001,***
OPENAI,교사 96,C2,0.306,0.002,**
OPENAI,교사 97,A1,0.558,<0.001,***
OPENAI,교사 97,A2,0.426,<0.001,***
OPENAI,교사 97,A3,0.21,0.036,*
OPENAI,교사 97,B1,0.642,<0.001,***
OPENAI,교사 97,B2,0.586,<0.001,***
OPENAI,교사 97,B3,0.21,0.036,*
OPENAI,교사 97,C1,0.326,<0.001,***
OPENAI,교사 97,C2,0.132,0.189,
ANTHROPIC,교사 96,A1,0.56,<0.001,***
ANTHROPIC,교사 96,A2,0.423,<0.001,***
ANTHROPIC,교사 96,A3,0.471,<0.001,***
ANTHROPIC,교사 96,B1,0.623,<0.001,***
ANTHROPIC,교사 96,B2,0.604,<0.001,***
ANTHROPIC,교사 96,B3,0.467,<0.001,***
ANTHROPIC,교사 96,C1,0.584,<0.001,***
ANTHROPIC,교사 96,C2,0.4,<0.001,***
ANTHROPIC,교사 97,A1,0.627,<0.001,***
ANTHROPIC,교사 97,A2,0.616,<0.001,***
ANTHROPIC,교사 97,A3,0.335,<0.001,***
ANTHROPIC,교사 97,B1,0.665,<0.001,***
ANTHROPIC,교사 97,B2,0.631,<0.001,***
ANTHROPIC,교사 97,B3,0.239,0.017,*
ANTHROPIC,교사 97,C1,0.426,<0.001,***
ANTHROPIC,교사 97,C2,0.017,0.863,
GEMINI,교사 96,A1,0.375,<0.001,***
GEMINI,교사 96,A2,0.213,0.033,*
GEMINI,교사 96,A3,0.377,<0.001,***
GEMINI,교사 96,B1,0.28,0.005,**
GEMINI,교사 96,B2,0.38,<0.001,***
GEMINI,교사 96,B3,0.324,0.001,**
GEMINI,교사 96,C1,0.152,0.131,
GEMINI,교사 96,C2,0.211,0.035,*
GEMINI,교사 97,A1,0.373,<0.001,***
GEMINI,교사 97,A2,0.292,0.003,**
GEMINI,교사 97,A3,0.309,0.002,**
GEMINI,교사 97,B1,0.304,0.002,**
GEMINI,교사 97,B2,0.351,<0.001,***
GEMINI,교사 97,B3,0.246,0.014,*
GEMINI,교사 97,C1,0.151,0.133,
GEMINI,교사 97,C2,0.17,0.091,
