mode,session_order,n,C2_mean,C2_std,Total_mean,Total_std
agent,1,23,2.04,0.68,24.36,6.17
agent,2,23,2.33,0.89,26.22,5.52
agent,3,19,2.23,0.71,25.21,4.51
agent,4,17,2.43,0.61,24.94,6.86
agent,5,12,2.28,0.55,28.0,1.25
agent,6,6,2.28,0.44,25.94,5.59
agent,7,3,2.56,0.51,28.67,2.33
agent,8,3,2.33,0.58,28.11,1.17
agent,9,2,2.5,0.24,28.67,3.3
agent,10,1,2.33,,28.33,
agent,11,1,2.33,,27.33,
agent,12,1,3.67,,30.67,
freepass,1,27,1.91,0.86,24.73,5.47
freepass,2,27,2.23,0.99,26.27,5.32
freepass,3,24,2.06,0.91,26.82,3.54
freepass,4,22,1.98,0.82,26.36,2.75
freepass,5,20,1.57,0.65,25.6,3.91
freepass,6,18,1.96,0.77,26.13,4.78
freepass,7,11,2.06,0.68,25.85,4.71
freepass,8,7,2.1,0.76,25.95,4.23
freepass,9,5,1.93,0.15,26.47,3.77
freepass,10,5,1.8,0.51,26.73,2.14
freepass,11,2,2.33,0.47,27.0,0.47
